"""OTU"",""all"",""t0"",""micro"",""susp"",""all_fltr"",""fltr_t0"",""fltr_micro"",""fltr_susp"",""micro_fltr"",""susp_fltr"",""ASV total abundance"",""ASV total abundance (log10)"",""Prevalence"",""Kingdom"",""Phylum"",""Class"",""Order"",""Family"",""Genus"",""Species"""
"OTU-1417,1,1,1,1,0,0,0,0,0,0,178,2.25042000230889,63.6986301369863,""k__Bacteria"",""p__Proteobacteria"",""c__Alphaproteobacteria"",""o__Rhodobacterales"",""f__Hyphomonadaceae"",""g__"",""s__"""
"OTU-4020,1,1,1,0,0,0,0,0,0,0,72,1.85733249643127,32.8767123287671,""k__Bacteria"",""p__Proteobacteria"",""c__Alphaproteobacteria"",""o__Rhizobiales"",NA,NA,NA"
"OTU-99,1,1,1,1,1,1,1,1,1,0,3269,3.51441492058037,91.7808219178082,""k__Bacteria"",""p__Proteobacteria"",""c__Alphaproteobacteria"",""o__Rhodobacterales"",""f__Hyphomonadaceae"",""g__"",""s__"""
"OTU-17314,1,0,1,1,0,0,0,0,0,0,80,1.90308998699194,38.3561643835616,""k__Bacteria"",""p__Proteobacteria"",""c__Alphaproteobacteria"",""o__Rhodobacterales"",""f__Hyphomonadaceae"",""g__"",""s__"""
"OTU-12002,1,0,1,0,0,0,0,0,0,0,16,1.20411998265592,10.2739726027397,""k__Bacteria"",""p__Proteobacteria"",""c__Alphaproteobacteria"",""o__Rhizobiales"",NA,NA,NA"
"OTU-19544,1,1,1,1,0,0,0,0,0,0,84,1.92427928606188,35.6164383561644,""k__Bacteria"",""p__Proteobacteria"",""c__Alphaproteobacteria"",""o__Rhizobiales"",""f__Hyphomicrobiaceae"",""g__Parvibaculum"",""s__"""
"OTU-760,1,0,1,0,0,0,0,0,0,0,294,2.46834733041216,69.1780821917808,""k__Bacteria"",""p__Proteobacteria"",""c__Alphaproteobacteria"",NA,NA,NA,NA"
"OTU-4217,1,0,1,0,0,0,0,0,0,0,96,1.98227123303957,36.3013698630137,""k__Bacteria"",""p__Proteobacteria"",""c__Alphaproteobacteria"",NA,NA,NA,NA"
"OTU-13665,1,0,1,1,0,0,0,0,0,0,29,1.46239799789896,15.7534246575342,""k__Bacteria"",""p__Proteobacteria"",""c__Alphaproteobacteria"",NA,NA,NA,NA"
"OTU-2355,1,0,1,0,0,0,0,0,0,0,29,1.46239799789896,17.8082191780822,""k__Bacteria"",""p__Proteobacteria"",""c__Alphaproteobacteria"",""o__Rhodospirillales"",""f__Rhodospirillaceae"",""g__"",""s__"""
"OTU-2583,1,0,1,0,0,0,0,0,0,0,121,2.08278537031645,13.013698630137,""k__Bacteria"",""p__Proteobacteria"",""c__Alphaproteobacteria"",""o__"",""f__"",""g__"",""s__"""
"OTU-28856,1,1,1,1,0,0,0,0,0,0,25,1.39794000867204,6.84931506849315,""k__Bacteria"",""p__Proteobacteria"",""c__Alphaproteobacteria"",""o__Rickettsiales"",NA,NA,NA"
"OTU-15603,1,0,1,0,0,0,0,0,0,0,10,1,2.73972602739726,""k__Bacteria"",""p__Proteobacteria"",""c__Alphaproteobacteria"",""o__Rickettsiales"",""f__"",""g__"",""s__"""
"OTU-2619,1,0,1,0,0,0,0,0,0,0,24,1.38021124171161,11.6438356164384,""k__Bacteria"",""p__Proteobacteria"",""c__Alphaproteobacteria"",""o__Rickettsiales"",NA,NA,NA"
"OTU-6835,1,0,1,0,0,0,0,0,0,0,31,1.49136169383427,13.013698630137,""k__Bacteria"",""p__Proteobacteria"",""c__Alphaproteobacteria"",""o__Rickettsiales"",""f__Rickettsiaceae"",""g__"",""s__"""
"OTU-566,1,0,1,0,0,0,0,0,0,0,33,1.51851393987789,14.3835616438356,""k__Bacteria"",""p__Proteobacteria"",""c__Alphaproteobacteria"",""o__Rickettsiales"",""f__Rickettsiaceae"",""g__"",""s__"""
"OTU-10556,1,0,1,0,0,0,0,0,0,0,25,1.39794000867204,10.958904109589,""k__Bacteria"",""p__Proteobacteria"",""c__Alphaproteobacteria"",""o__Rickettsiales"",""f__Rickettsiaceae"",""g__"",""s__"""
"OTU-6658,1,1,1,0,0,0,0,0,0,0,11,1.04139268515823,7.53424657534247,""k__Bacteria"",""p__Proteobacteria"",""c__Alphaproteobacteria"",""o__Rickettsiales"",""f__Rickettsiaceae"",""g__"",""s__"""
"OTU-2707,1,0,1,0,0,0,0,0,0,0,84,1.92427928606188,27.3972602739726,""k__Bacteria"",""p__Proteobacteria"",""c__Alphaproteobacteria"",""o__Rickettsiales"",""f__Rickettsiaceae"",""g__"",""s__"""
"OTU-763,1,0,1,0,0,0,0,0,0,0,180,2.25527250510331,31.5068493150685,""k__Bacteria"",""p__Proteobacteria"",""c__Alphaproteobacteria"",""o__Rickettsiales"",""f__Rickettsiaceae"",""g__"",""s__"""
"OTU-15000,1,1,1,1,0,0,0,0,0,0,23,1.36172783601759,10.958904109589,""k__Bacteria"",""p__Proteobacteria"",""c__Alphaproteobacteria"",""o__Rickettsiales"",""f__Rickettsiaceae"",""g__"",""s__"""
"OTU-2819,1,1,1,0,0,0,0,0,0,0,64,1.80617997398389,26.027397260274,""k__Bacteria"",""p__Proteobacteria"",""c__Alphaproteobacteria"",""o__Rickettsiales"",""f__Rickettsiaceae"",""g__"",""s__"""
"OTU-4721,1,0,1,0,0,0,0,0,0,0,15,1.17609125905568,7.53424657534247,""k__Bacteria"",""p__Proteobacteria"",""c__Alphaproteobacteria"",""o__Rickettsiales"",""f__Rickettsiaceae"",""g__"",""s__"""
"OTU-29762,1,1,1,1,0,0,0,0,0,0,25,1.39794000867204,6.84931506849315,""k__Bacteria"",""p__Proteobacteria"",""c__Alphaproteobacteria"",NA,NA,NA,NA"
"OTU-2278,1,1,1,1,0,0,0,0,0,0,104,2.01703333929878,30.8219178082192,""k__Bacteria"",""p__Proteobacteria"",""c__Alphaproteobacteria"",""o__"",""f__"",""g__"",""s__"""
"OTU-880,1,1,1,1,0,0,0,0,0,0,408,2.61066016308988,63.6986301369863,""k__Bacteria"",""p__Proteobacteria"",""c__Alphaproteobacteria"",""o__Rhizobiales"",NA,NA,NA"
"OTU-133,1,1,1,0,1,1,1,0,1,0,7502,3.8751770598147,83.5616438356164,""k__Bacteria"",""p__Proteobacteria"",""c__Alphaproteobacteria"",NA,NA,NA,NA"
"OTU-5775,1,0,1,0,0,0,0,0,0,0,527,2.72181061521255,80.1369863013699,""k__Bacteria"",""p__Proteobacteria"",""c__Alphaproteobacteria"",NA,NA,NA,NA"
"OTU-5091,1,0,1,0,0,0,0,0,0,0,73,1.86332286012046,28.0821917808219,""k__Bacteria"",""p__Proteobacteria"",""c__Alphaproteobacteria"",NA,NA,NA,NA"
"OTU-1415,1,0,1,0,0,0,0,0,0,0,280,2.44715803134222,73.2876712328767,""k__Bacteria"",""p__Proteobacteria"",""c__Alphaproteobacteria"",""o__Sphingomonadales"",""f__Sphingomonadaceae"",NA,NA"
"OTU-44,1,1,1,1,1,1,1,1,1,0,7817,3.89304011195712,86.3013698630137,""k__Bacteria"",""p__Proteobacteria"",""c__Alphaproteobacteria"",""o__BD7-3"",""f__"",""g__"",""s__"""
"OTU-1186,1,1,1,0,0,0,0,0,0,0,17,1.23044892137827,8.9041095890411,""k__Bacteria"",""p__Proteobacteria"",""c__Alphaproteobacteria"",""o__BD7-3"",""f__"",""g__"",""s__"""
"OTU-10,1,1,1,1,1,1,1,1,1,0,9688,3.986234130135,85.6164383561644,""k__Bacteria"",""p__Proteobacteria"",""c__Alphaproteobacteria"",""o__BD7-3"",""f__"",""g__"",""s__"""
"OTU-10202,1,0,1,0,0,0,0,0,0,0,24,1.38021124171161,9.58904109589041,""k__Bacteria"",""p__Proteobacteria"",""c__Alphaproteobacteria"",""o__BD7-3"",""f__"",""g__"",""s__"""
"OTU-1039,1,1,1,0,0,0,0,0,0,0,59,1.77085201164214,24.6575342465753,""k__Bacteria"",""p__Proteobacteria"",""c__Alphaproteobacteria"",""o__BD7-3"",""f__"",""g__"",""s__"""
"OTU-10003,1,1,1,1,0,0,0,0,0,0,22,1.34242268082221,9.58904109589041,""k__Bacteria"",""p__Proteobacteria"",""c__Alphaproteobacteria"",""o__BD7-3"",""f__"",""g__"",""s__"""
"OTU-50959,1,0,1,0,0,0,0,0,0,0,68,1.83250891270624,27.3972602739726,""k__Bacteria"",""p__Proteobacteria"",""c__Alphaproteobacteria"",""o__BD7-3"",""f__"",""g__"",""s__"""
"OTU-4073,1,1,1,1,0,0,0,0,0,0,18,1.25527250510331,10.958904109589,""k__Bacteria"",""p__Proteobacteria"",""c__Alphaproteobacteria"",""o__BD7-3"",""f__"",""g__"",""s__"""
"OTU-47559,1,0,1,1,0,0,0,0,0,0,36,1.55630250076729,4.79452054794521,""k__Bacteria"",""p__Proteobacteria"",""c__Gammaproteobacteria"",""o__Enterobacteriales"",""f__Enterobacteriaceae"",NA,NA"
"OTU-222,1,1,1,1,1,1,1,1,1,1,23261,4.36662838129297,95.2054794520548,""k__Bacteria"",""p__Proteobacteria"",""c__Gammaproteobacteria"",""o__Enterobacteriales"",""f__Enterobacteriaceae"",""g__Citrobacter"",""s__"""
"OTU-1299,1,1,1,1,0,0,0,0,0,0,369,2.56702636615906,84.2465753424658,""k__Bacteria"",""p__Proteobacteria"",""c__Gammaproteobacteria"",""o__Enterobacteriales"",""f__Enterobacteriaceae"",""g__Escherichia"",""s__coli"""
"OTU-47341,1,0,1,1,1,0,1,1,0,1,400,2.60205999132796,21.2328767123288,""k__Bacteria"",""p__Proteobacteria"",""c__Gammaproteobacteria"",""o__Pseudomonadales"",NA,NA,NA"
"OTU-47531,1,0,1,1,1,0,1,1,0,1,197,2.29446622616159,21.2328767123288,""k__Bacteria"",""p__Proteobacteria"",""c__Gammaproteobacteria"",NA,NA,NA,NA"
"OTU-47349,1,0,1,1,1,0,1,1,0,1,191,2.28103336724773,14.3835616438356,""k__Bacteria"",""p__Proteobacteria"",""c__Gammaproteobacteria"",NA,NA,NA,NA"
"OTU-2154,1,1,1,1,0,0,0,0,0,0,274,2.43775056282039,73.972602739726,""k__Bacteria"",""p__Proteobacteria"",""c__Gammaproteobacteria"",NA,NA,NA,NA"
"OTU-2018,1,0,1,0,0,0,0,0,0,0,144,2.15836249209525,54.1095890410959,""k__Bacteria"",""p__Proteobacteria"",""c__Gammaproteobacteria"",""o__Chromatiales"",""f__"",""g__"",""s__"""
"OTU-34285,1,1,1,1,0,0,0,0,0,0,14,1.14612803567824,4.79452054794521,""k__Bacteria"",""p__Proteobacteria"",""c__Gammaproteobacteria"",""o__Legionellales"",""f__"",""g__"",""s__"""
"OTU-26898,1,1,0,1,0,0,0,0,0,0,51,1.70757017609794,8.9041095890411,""k__Bacteria"",""p__Proteobacteria"",""c__Gammaproteobacteria"",""o__Legionellales"",""f__"",""g__"",""s__"""
"OTU-1562,1,0,1,0,0,0,0,0,0,0,23,1.36172783601759,8.9041095890411,""k__Bacteria"",""p__Proteobacteria"",""c__Gammaproteobacteria"",""o__Legionellales"",""f__"",""g__"",""s__"""
"OTU-9693,1,0,1,0,0,0,0,0,0,0,21,1.32221929473392,11.6438356164384,""k__Bacteria"",""p__Proteobacteria"",""c__Gammaproteobacteria"",""o__Legionellales"",""f__Coxiellaceae"",""g__"",""s__"""
"OTU-653,1,0,1,0,0,0,0,0,0,0,17,1.23044892137827,2.73972602739726,""k__Bacteria"",""p__Proteobacteria"",""c__Gammaproteobacteria"",""o__Legionellales"",""f__Coxiellaceae"",""g__Aquicella"",""s__"""
"OTU-20886,1,1,1,1,0,0,0,0,0,0,14,1.14612803567824,6.16438356164384,""k__Bacteria"",""p__Proteobacteria"",""c__Gammaproteobacteria"",""o__Legionellales"",""f__Coxiellaceae"",""g__"",""s__"""
"OTU-17018,1,0,1,0,0,0,0,0,0,0,12,1.07918124604762,4.79452054794521,""k__Bacteria"",""p__Proteobacteria"",""c__Gammaproteobacteria"",""o__Legionellales"",""f__Coxiellaceae"",""g__"",""s__"""
